Name,Type1,Type2
spinarak,bug,poison
ariados,bug,poison
crobat,poison,flying
chinchou,water,electric
lanturn,water,electric
pichu,electric,none
cleffa,fairy,none
igglybuff,normal,fairy
togepi,fairy,none
togetic,fairy,flying
natu,psychic,flying
xatu,psychic,flying
mareep,electric,none
flaaffy,electric,none
ampharos,electric,none
bellossom,grass,none
marill,water,fairy
azumarill,water,fairy
sudowoodo,rock,none
politoed,water,none
hoppip,grass,flying
skiploom,grass,flying
jumpluff,grass,flying
aipom,normal,none
sunkern,grass,none
sunflora,grass,none
yanma,bug,flying
wooper,water,ground
quagsire,water,ground
espeon,psychic,none
umbreon,dark,none
murkrow,dark,flying
slowking,water,psychic
misdreavus,ghost,none
unown,psychic,none
wobbuffet,psychic,none
girafarig,normal,psychic
pineco,bug,none
forretress,bug,steel
dunsparce,normal,none
gligar,ground,flying
steelix,steel,ground
snubbull,fairy,none
granbull,fairy,none
qwilfish,water,poison
scizor,bug,steel
shuckle,bug,rock
heracross,bug,fighting
sneasel,dark,ice
teddiursa,normal,none
ursaring,normal,none
slugma,fire,none
magcargo,fire,rock
swinub,ice,ground
piloswine,ice,ground
corsola,water,rock
remoraid,water,none
octillery,water,none
delibird,ice,flying
mantine,water,flying
skarmory,steel,flying
houndour,dark,fire
houndoom,dark,fire
kingdra,water,dragon
phanpy,ground,none
donphan,ground,none
porygon2,normal,none
stantler,normal,none
smeargle,normal,none
tyrogue,fighting,none
hitmontop,fighting,none
smoochum,ice,psychic
elekid,electric,none
magby,fire,none
miltank,normal,none
blissey,normal,none
raikou,electric,none
entei,fire,none
suicune,water,none
larvitar,rock,ground
pupitar,rock,ground
tyranitar,rock,dark
lugia,psychic,flying
ho-oh,fire,flying
celebi,psychic,grass
treecko,grass,none
grovyle,grass,none
sceptile,grass,none
torchic,fire,none
combusken,fire,fighting
blaziken,fire,fighting
mudkip,water,none
marshtomp,water,ground
swampert,water,ground
poochyena,dark,none
mightyena,dark,none
zigzagoon,normal,none
linoone,normal,none
wurmple,bug,none
silcoon,bug,none
beautifly,bug,flying
cascoon,bug,none
dustox,bug,poison
lotad,water,grass
lombre,water,grass
ludicolo,water,grass
seedot,grass,none
nuzleaf,grass,dark
shiftry,grass,dark
taillow,normal,flying
swellow,normal,flying
wingull,water,flying
pelipper,water,flying
ralts,psychic,fairy
kirlia,psychic,fairy
gardevoir,psychic,fairy
surskit,bug,water
masquerain,bug,flying
shroomish,grass,none
breloom,grass,fighting
slakoth,normal,none
vigoroth,normal,none
slaking,normal,none
nincada,bug,ground
ninjask,bug,flying
shedinja,bug,ghost
whismur,normal,none
loudred,normal,none
exploud,normal,none
makuhita,fighting,none
hariyama,fighting,none
azurill,normal,fairy
nosepass,rock,none
skitty,normal,none
delcatty,normal,none
sableye,dark,ghost
mawile,steel,fairy
aron,steel,rock
lairon,steel,rock
aggron,steel,rock
meditite,fighting,psychic
medicham,fighting,psychic
electrike,electric,none
manectric,electric,none
plusle,electric,none
minun,electric,none
volbeat,bug,none
illumise,bug,none
roselia,grass,poison
gulpin,poison,none
swalot,poison,none
carvanha,water,dark
sharpedo,water,dark
wailmer,water,none
wailord,water,none
numel,fire,ground
camerupt,fire,ground
torkoal,fire,none
spoink,psychic,none
grumpig,psychic,none
spinda,normal,none
trapinch,ground,none
vibrava,ground,dragon
flygon,ground,dragon
cacnea,grass,none
cacturne,grass,dark
swablu,normal,flying
altaria,dragon,flying
zangoose,normal,none
seviper,poison,none
lunatone,rock,psychic
solrock,rock,psychic
barboach,water,ground
whiscash,water,ground
corphish,water,none
crawdaunt,water,dark
baltoy,ground,psychic
claydol,ground,psychic
lileep,rock,grass
cradily,rock,grass
anorith,rock,bug
armaldo,rock,bug
feebas,water,none
milotic,water,none
castform,normal,none
kecleon,normal,none
shuppet,ghost,none
banette,ghost,none
duskull,ghost,none
dusclops,ghost,none
tropius,grass,flying
chimecho,psychic,none
absol,dark,none
wynaut,psychic,none
snorunt,ice,none
glalie,ice,none
spheal,ice,water
sealeo,ice,water
walrein,ice,water
clamperl,water,none
huntail,water,none
gorebyss,water,none
relicanth,water,rock
luvdisc,water,none
bagon,dragon,none
shelgon,dragon,none
salamence,dragon,flying
beldum,steel,psychic
metang,steel,psychic
metagross,steel,psychic
regirock,rock,none
regice,ice,none
registeel,steel,none
latias,dragon,psychic
latios,dragon,psychic
kyogre,water,none
groudon,ground,none
rayquaza,dragon,flying
jirachi,steel,psychic
deoxys-normal,psychic,none
turtwig,grass,none
grotle,grass,none
torterra,grass,ground
chimchar,fire,none
monferno,fire,fighting
infernape,fire,fighting
piplup,water,none
prinplup,water,none
empoleon,water,steel
starly,normal,flying
staravia,normal,flying
staraptor,normal,flying
bidoof,normal,none
bibarel,normal,water
kricketot,bug,none
kricketune,bug,none
shinx,electric,none
luxio,electric,none
luxray,electric,none
budew,grass,poison
roserade,grass,poison
cranidos,rock,none
rampardos,rock,none
shieldon,rock,steel
bastiodon,rock,steel
burmy,bug,none
wormadam-plant,bug,grass
mothim,bug,flying
combee,bug,flying
vespiquen,bug,flying
pachirisu,electric,none
buizel,water,none
floatzel,water,none
cherubi,grass,none
cherrim,grass,none
shellos,water,none
gastrodon,water,ground
ambipom,normal,none
drifloon,ghost,flying
drifblim,ghost,flying
buneary,normal,none
lopunny,normal,none
mismagius,ghost,none
honchkrow,dark,flying
glameow,normal,none
purugly,normal,none
chingling,psychic,none
stunky,poison,dark
skuntank,poison,dark
bronzor,steel,psychic
bronzong,steel,psychic
bonsly,rock,none
mime-jr,psychic,fairy
happiny,normal,none
chatot,normal,flying
spiritomb,ghost,dark
gible,dragon,ground
gabite,dragon,ground
garchomp,dragon,ground
munchlax,normal,none
riolu,fighting,none
lucario,fighting,steel
hippopotas,ground,none
hippowdon,ground,none
skorupi,poison,bug
drapion,poison,dark
croagunk,poison,fighting
toxicroak,poison,fighting
carnivine,grass,none
finneon,water,none
lumineon,water,none
mantyke,water,flying
snover,grass,ice
abomasnow,grass,ice
weavile,dark,ice
magnezone,electric,steel
lickilicky,normal,none
rhyperior,ground,rock
tangrowth,grass,none
electivire,electric,none
magmortar,fire,none
togekiss,fairy,flying
yanmega,bug,flying
leafeon,grass,none
glaceon,ice,none
gliscor,ground,flying
mamoswine,ice,ground
porygon-z,normal,none
gallade,psychic,fighting
probopass,rock,steel
dusknoir,ghost,none
froslass,ice,ghost
rotom,electric,ghost
uxie,psychic,none
mesprit,psychic,none
azelf,psychic,none
dialga,steel,dragon
palkia,water,dragon
heatran,fire,steel
regigigas,normal,none
giratina-altered,ghost,dragon
cresselia,psychic,none
phione,water,none
manaphy,water,none
darkrai,dark,none
shaymin-land,grass,none
arceus,normal,none
victini,psychic,fire
snivy,grass,none
servine,grass,none
serperior,grass,none
tepig,fire,none
pignite,fire,fighting
emboar,fire,fighting
oshawott,water,none
dewott,water,none
samurott,water,none
patrat,normal,none
watchog,normal,none
lillipup,normal,none
herdier,normal,none
stoutland,normal,none
purrloin,dark,none
liepard,dark,none
pansage,grass,none
simisage,grass,none
pansear,fire,none
simisear,fire,none
panpour,water,none
simipour,water,none
munna,psychic,none
musharna,psychic,none
pidove,normal,flying
tranquill,normal,flying
unfezant,normal,flying
blitzle,electric,none
zebstrika,electric,none
roggenrola,rock,none
boldore,rock,none
gigalith,rock,none
woobat,psychic,flying
swoobat,psychic,flying
drilbur,ground,none
excadrill,ground,steel
audino,normal,none
timburr,fighting,none
gurdurr,fighting,none
conkeldurr,fighting,none
tympole,water,none
palpitoad,water,ground
seismitoad,water,ground
throh,fighting,none
sawk,fighting,none
sewaddle,bug,grass
swadloon,bug,grass
leavanny,bug,grass
venipede,bug,poison
whirlipede,bug,poison
scolipede,bug,poison
cottonee,grass,fairy
whimsicott,grass,fairy
petilil,grass,none
lilligant,grass,none
basculin-red-striped,water,none
sandile,ground,dark
krokorok,ground,dark
krookodile,ground,dark
darumaka,fire,none
darmanitan-standard,fire,none
maractus,grass,none
dwebble,bug,rock
crustle,bug,rock
scraggy,dark,fighting
scrafty,dark,fighting
sigilyph,psychic,flying
yamask,ghost,none
cofagrigus,ghost,none
tirtouga,water,rock
carracosta,water,rock
archen,rock,flying
archeops,rock,flying
trubbish,poison,none
garbodor,poison,none
zorua,dark,none
zoroark,dark,none
minccino,normal,none
cinccino,normal,none
gothita,psychic,none
gothorita,psychic,none
gothitelle,psychic,none
solosis,psychic,none
duosion,psychic,none
reuniclus,psychic,none
ducklett,water,flying
swanna,water,flying
vanillite,ice,none
vanillish,ice,none
vanilluxe,ice,none
deerling,normal,grass
sawsbuck,normal,grass
emolga,electric,flying
karrablast,bug,none
escavalier,bug,steel
foongus,grass,poison
amoonguss,grass,poison
frillish,water,ghost
jellicent,water,ghost
alomomola,water,none
joltik,bug,electric
galvantula,bug,electric
ferroseed,grass,steel
ferrothorn,grass,steel
klink,steel,none
klang,steel,none
klinklang,steel,none
tynamo,electric,none
eelektrik,electric,none
eelektross,electric,none
elgyem,psychic,none
beheeyem,psychic,none
litwick,ghost,fire
lampent,ghost,fire
chandelure,ghost,fire
axew,dragon,none
fraxure,dragon,none
haxorus,dragon,none
cubchoo,ice,none
beartic,ice,none
cryogonal,ice,none
shelmet,bug,none
accelgor,bug,none
stunfisk,ground,electric
mienfoo,fighting,none
mienshao,fighting,none
druddigon,dragon,none
golett,ground,ghost
golurk,ground,ghost
pawniard,dark,steel
bisharp,dark,steel
bouffalant,normal,none
rufflet,normal,flying
braviary,normal,flying
vullaby,dark,flying
mandibuzz,dark,flying
heatmor,fire,none
durant,bug,steel
deino,dark,dragon
zweilous,dark,dragon
hydreigon,dark,dragon
larvesta,bug,fire
volcarona,bug,fire
cobalion,steel,fighting
terrakion,rock,fighting
virizion,grass,fighting
tornadus-incarnate,flying,none
thundurus-incarnate,electric,flying
reshiram,dragon,fire
zekrom,dragon,electric
landorus-incarnate,ground,flying
kyurem,dragon,ice
keldeo-ordinary,water,fighting
meloetta-aria,normal,psychic
genesect,bug,steel
chespin,grass,none
quilladin,grass,none
chesnaught,grass,fighting
fennekin,fire,none
braixen,fire,none
delphox,fire,psychic
froakie,water,none
frogadier,water,none
greninja,water,dark
bunnelby,normal,none
diggersby,normal,ground
fletchling,normal,flying
fletchinder,fire,flying
talonflame,fire,flying
scatterbug,bug,none
spewpa,bug,none
vivillon,bug,flying
litleo,fire,normal
pyroar,fire,normal
flabebe,fairy,none
floette,fairy,none
florges,fairy,none
skiddo,grass,none
gogoat,grass,none
pancham,fighting,none
pangoro,fighting,dark
furfrou,normal,none
espurr,psychic,none
meowstic-male,psychic,none
honedge,steel,ghost
doublade,steel,ghost
aegislash-shield,steel,ghost
spritzee,fairy,none
aromatisse,fairy,none
swirlix,fairy,none
slurpuff,fairy,none
inkay,dark,psychic
malamar,dark,psychic
binacle,rock,water
barbaracle,rock,water
skrelp,poison,water
dragalge,poison,dragon
clauncher,water,none
clawitzer,water,none
helioptile,electric,normal
heliolisk,electric,normal
tyrunt,rock,dragon
tyrantrum,rock,dragon
amaura,rock,ice
aurorus,rock,ice
sylveon,fairy,none
hawlucha,fighting,flying
dedenne,electric,fairy
carbink,rock,fairy
goomy,dragon,none
sliggoo,dragon,none
goodra,dragon,none
klefki,steel,fairy
phantump,ghost,grass
trevenant,ghost,grass
pumpkaboo-average,ghost,grass
gourgeist-average,ghost,grass
bergmite,ice,none
avalugg,ice,none
noibat,flying,dragon
noivern,flying,dragon
xerneas,fairy,none
yveltal,dark,flying
zygarde,dragon,ground
diancie,rock,fairy
hoopa,psychic,ghost
volcanion,fire,water
deoxys-attack,psychic,none
deoxys-defense,psychic,none
deoxys-speed,psychic,none
wormadam-sandy,bug,ground
wormadam-trash,bug,steel
shaymin-sky,grass,flying
giratina-origin,ghost,dragon
rotom-heat,electric,fire
rotom-wash,electric,water
rotom-frost,electric,ice
rotom-fan,electric,flying
rotom-mow,electric,grass
castform-sunny,fire,none
castform-rainy,water,none
castform-snowy,ice,none
basculin-blue-striped,water,none
darmanitan-zen,fire,psychic
meloetta-pirouette,normal,fighting
tornadus-therian,flying,none
thundurus-therian,electric,flying
landorus-therian,ground,flying
kyurem-black,dragon,ice
kyurem-white,dragon,ice
keldeo-resolute,water,fighting
meowstic-female,psychic,none
aegislash-blade,steel,ghost
pumpkaboo-small,ghost,grass
pumpkaboo-large,ghost,grass
pumpkaboo-super,ghost,grass
gourgeist-small,ghost,grass
gourgeist-large,ghost,grass
gourgeist-super,ghost,grass
venusaur-mega,grass,poison
charizard-mega-x,fire,dragon
charizard-mega-y,fire,flying
blastoise-mega,water,none
alakazam-mega,psychic,none
gengar-mega,ghost,poison
kangaskhan-mega,normal,none
pinsir-mega,bug,flying
gyarados-mega,water,dark
aerodactyl-mega,rock,flying
mewtwo-mega-x,psychic,fighting
mewtwo-mega-y,psychic,none
ampharos-mega,electric,dragon
scizor-mega,bug,steel
heracross-mega,bug,fighting
houndoom-mega,dark,fire
tyranitar-mega,rock,dark
blaziken-mega,fire,fighting
gardevoir-mega,psychic,fairy
mawile-mega,steel,fairy
aggron-mega,steel,none
medicham-mega,fighting,psychic
manectric-mega,electric,none
banette-mega,ghost,none
absol-mega,dark,none
garchomp-mega,dragon,ground
lucario-mega,fighting,steel
abomasnow-mega,grass,ice
floette-eternal,fairy,none
latias-mega,dragon,psychic
latios-mega,dragon,psychic
swampert-mega,water,ground
sceptile-mega,grass,dragon
sableye-mega,dark,ghost
altaria-mega,dragon,fairy
gallade-mega,psychic,fighting
audino-mega,normal,fairy
sharpedo-mega,water,dark
slowbro-mega,water,psychic
steelix-mega,steel,ground
pidgeot-mega,normal,flying
glalie-mega,ice,none
diancie-mega,rock,fairy
metagross-mega,steel,psychic
kyogre-primal,water,none
groudon-primal,ground,fire
rayquaza-mega,dragon,flying
pikachu-rock-star,electric,none
pikachu-belle,electric,none
pikachu-pop-star,electric,none
pikachu-phd,electric,none
pikachu-libre,electric,none
pikachu-cosplay,electric,none
hoopa-unbound,psychic,dark
camerupt-mega,fire,ground
lopunny-mega,normal,fighting
salamence-mega,dragon,flying
beedrill-mega,bug,poison
